City,Driverid (Geolocation),Event,State,Truckid (Geolocation),Event Ind,Idling Ind,Latitude,Longitude,Velocity
San Fernando,A57,normal,California,A57,0,0,36.471865,-116.196595,16
San Fernando,A79,normal,California,A79,0,0,36.471865,-116.196595,70
San Fernando,A79,normal,California,A79,0,1,36.471865,-116.196595,0
San Fernando,A94,overspeed,California,A94,1,0,36.471865,-116.196595,77
San Fernando,A94,normal,California,A94,0,0,36.471865,-116.196595,40
San Fernando,A75,normal,California,A75,0,1,36.471865,-116.196595,0
San Fernando,A88,normal,California,A88,0,1,36.471865,-116.196595,0
San Fernando,A11,normal,California,A11,0,1,36.471865,-116.196595,0
San Fernando,A48,normal,California,A48,0,0,36.471865,-116.196595,47
San Fernando,A80,normal,California,A80,0,1,36.471865,-116.196595,0
San Fernando,A30,normal,California,A30,0,0,36.471865,-116.196595,17
San Fernando,A52,normal,California,A52,0,0,36.471865,-116.196595,75
San Fernando,A84,normal,California,A84,0,0,36.471865,-116.196595,68
San Fernando,A48,normal,California,A48,0,1,36.471865,-116.196595,0
San Fernando,A67,normal,California,A67,0,0,36.471865,-116.196595,57
San Fernando,A21,normal,California,A21,0,0,36.471865,-116.196595,54
San Fernando,A80,normal,California,A80,0,1,36.471865,-116.196595,0
San Fernando,A30,normal,California,A30,0,0,36.471865,-116.196595,22
San Fernando,A75,normal,California,A75,0,1,36.471865,-116.196595,0
San Fernando,A98,normal,California,A98,0,1,36.471865,-116.196595,0
San Fernando,A11,normal,California,A11,0,0,36.471865,-116.196595,38
San Fernando,A57,normal,California,A57,0,0,36.471865,-116.196595,23
San Fernando,A98,normal,California,A98,0,0,36.471865,-116.196595,15
San Fernando,A99,normal,California,A99,0,0,36.471865,-116.196595,48
San Fernando,A67,normal,California,A67,0,0,36.471865,-116.196595,33
San Fernando,A67,unsafe following distance,California,A67,1,0,36.471865,-116.196595,43
San Fernando,A94,normal,California,A94,0,0,36.471865,-116.196595,40
San Fernando,A61,normal,California,A61,0,0,36.471865,-116.196595,32
San Fernando,A25,normal,California,A25,0,0,36.471865,-116.196595,43
San Fernando,A61,normal,California,A61,0,0,36.471865,-116.196595,21
San Fernando,A80,normal,California,A80,0,0,36.471865,-116.196595,49
San Fernando,A67,normal,California,A67,0,0,36.471865,-116.196595,43
San Fernando,A71,normal,California,A71,0,1,36.471865,-116.196595,0
