City,Driverid (Geolocation),Event,State,Truckid (Geolocation),Event Ind,Idling Ind,Latitude,Longitude,Velocity
city,driverid,event,state,truckid,,,,,
Santa Rosa,A54,normal,California,A54,0,0,38.440467,-122.714431,17
Aptos,A20,normal,California,A20,0,0,36.977173,-121.899402,27
Stockton,A40,overspeed,California,A40,1,0,37.957702,-121.29078,77
Willits,A31,normal,California,A31,0,0,39.409608,-123.355566,22
Irvine,A71,normal,California,A71,0,0,33.683947,-117.794694,43
Occidental,A50,normal,California,A50,0,1,38.40765,-122.947713,0
Modesto,A51,normal,California,A51,0,1,37.639097,-120.996878,0
San Pablo,A19,normal,California,A19,0,1,37.962146,-122.345526,0
San Pablo,A77,normal,California,A77,0,0,37.962146,-122.345526,25
Mariposa,A92,normal,California,A92,0,1,37.484938,-119.966284,0
Arbuckle,A89,normal,California,A89,0,0,39.017396,-122.057748,38
San Diego,A86,normal,California,A86,0,0,32.715329,-117.157255,45
Klamath,A5,unsafe following distance,California,A5,1,0,41.526509,-124.038407,33
Bakersfield,A54,normal,California,A54,0,0,35.373292,-119.018712,19
Roseville,A48,overspeed,California,A48,1,0,38.752124,-121.288006,77
Jacumba,A2,normal,California,A2,0,0,32.61768,-116.187424,50
Oceanside,A98,normal,California,A98,0,0,33.19587,-117.379483,27
Kneeland,A10,normal,California,A10,0,1,40.761243,-123.994778,0
Knightsen,A12,normal,California,A12,0,0,37.968812,-121.668008,59
Knightsen,A43,normal,California,A43,0,0,37.968812,-121.668008,45
Mariposa,A65,normal,California,A65,0,1,37.484938,-119.966284,0
San Dimas,A62,normal,California,A62,0,0,34.106676,-117.806726,39
San Quentin,A94,unsafe following distance,California,A94,1,1,37.941325,-122.484704,0
Santa Rosa,A68,normal,California,A68,0,0,38.440467,-122.714431,51
Ukiah,A49,lane departure,California,A49,1,0,39.150171,-123.207783,41
Stockton,A72,normal,California,A72,0,1,37.957702,-121.29078,0
San Dimas,A10,normal,California,A10,0,0,34.106676,-117.806726,46
Apple Valley,A68,normal,California,A68,0,0,34.500831,-117.185876,16
La Palma,A51,normal,California,A51,0,0,33.846404,-118.046731,15
Palo Cedro,A7,normal,California,A7,0,0,40.563763,-122.238892,40
Willits,A11,normal,California,A11,0,0,39.409608,-123.355566,31
Santa Rosa,A8,normal,California,A8,0,0,38.440467,-122.714431,25
Goleta,A37,normal,California,A37,0,0,34.435829,-119.827639,16
Antelope,A9,normal,California,A9,0,0,38.716687,-121.364422,67
Santa Rosa,A34,normal,California,A34,0,0,38.440467,-122.714431,68
La Quinta,A38,normal,California,A38,0,0,33.663357,-116.310009,72
Goleta,A56,normal,California,A56,0,1,34.435829,-119.827639,0
Occidental,A27,normal,California,A27,0,0,38.40765,-122.947713,18
Ojai,A26,normal,California,A26,0,0,34.44805,-119.242889,19
Antelope,A58,normal,California,A58,0,0,38.716687,-121.364422,39
San Fernando,A57,normal,California,A57,0,0,36.471865,-6.196595,16
Homeland,A68,normal,California,A68,0,0,33.743076,-117.109197,28
Stockton,A17,normal,California,A17,0,0,37.957702,-121.29078,16
Santa Rosa,A93,normal,California,A93,0,0,38.440467,-122.714431,37
Palo Alto,A37,normal,California,A37,0,0,37.441883,-122.143019,18
San Quentin,A33,normal,California,A33,0,0,37.941325,-122.484704,63
Kneeland,A33,normal,California,A33,0,0,40.761243,-123.994778,34
Bakersfield,A69,normal,California,A69,0,0,35.373292,-119.018712,45
Ukiah,A22,normal,California,A22,0,0,39.150171,-123.207783,30
San Quentin,A98,normal,California,A98,0,0,37.941325,-122.484704,42
Glendora,A100,normal,California,A100,0,1,34.136119,-117.865339,0
Rough and Ready,A15,normal,California,A15,0,0,39.230151,-121.136075,42
Hollister,A66,normal,California,A66,0,0,36.852455,-121.401602,39
Santa Rosa,A33,normal,California,A33,0,0,38.440467,-122.714431,57
Santa Rosa,A15,normal,California,A15,0,0,38.440467,-122.714431,56
Santa Paula,A37,normal,California,A37,0,0,34.354166,-119.059271,68
Martinez,A49,normal,California,A49,0,0,38.019366,-122.134132,53
Glendora,A50,normal,California,A50,0,0,34.136119,-117.865339,25
La Quinta,A38,normal,California,A38,0,0,33.663357,-116.310009,69
Roseville,A52,normal,California,A52,0,0,38.752124,-121.288006,71
Santa Rosa,A22,normal,California,A22,0,1,38.440467,-122.714431,0
Arbuckle,A16,normal,California,A16,0,1,39.017396,-122.057748,0
Santa Rosa,A67,normal,California,A67,0,0,38.440467,-122.714431,42
Santa Rosa,A100,normal,California,A100,0,0,38.440467,-122.714431,52
Willits,A39,normal,California,A39,0,1,39.409608,-123.355566,0
San Fernando,A79,normal,California,A79,0,0,36.471865,-6.196595,70
Palmdale,A5,normal,California,A5,0,0,34.579434,-118.116461,50
Rough and Ready,A27,normal,California,A27,0,0,39.230151,-121.136075,59
Santa Rosa,A12,normal,California,A12,0,0,38.440467,-122.714431,69
Willits,A35,normal,California,A35,0,1,39.409608,-123.355566,0
San Dimas,A20,normal,California,A20,0,0,34.106676,-117.806726,55
Santa Rosa,A16,normal,California,A16,0,0,38.440467,-122.714431,37
Santa Rosa,A62,normal,California,A62,0,0,38.440467,-122.714431,71
Apple Valley,A99,normal,California,A99,0,1,34.500831,-117.185876,0
Willits,A35,normal,California,A35,0,0,39.409608,-123.355566,75
Gilroy,A16,normal,California,A16,0,1,37.005782,-121.568275,0
Palo Alto,A29,normal,California,A29,0,0,37.441883,-122.143019,46
Palmdale,A28,normal,California,A28,0,0,34.579434,-118.116461,38
Santa Monica,A59,normal,California,A59,0,0,34.019454,-118.491191,20
Homeland,A76,normal,California,A76,0,0,33.743076,-117.109197,31
Klamath,A32,normal,California,A32,0,0,41.526509,-124.038407,67
La Palma,A32,normal,California,A32,0,0,33.846404,-118.046731,69
Knightsen,A35,normal,California,A35,0,0,37.968812,-121.668008,32
Santa Rosa,A66,normal,California,A66,0,0,38.440467,-122.714431,73
Apple Valley,A18,normal,California,A18,0,0,34.500831,-117.185876,42
Santa Rosa,A97,overspeed,California,A97,1,0,38.440467,-122.714431,33
Stockton,A91,normal,California,A91,0,0,37.957702,-121.29078,69
Antelope,A78,normal,California,A78,0,0,38.716687,-121.364422,41
Santa Rosa,A30,normal,California,A30,0,0,38.440467,-122.714431,23
Klamath,A40,normal,California,A40,0,0,41.526509,-124.038407,61
San Dimas,A75,lane departure,California,A75,1,0,34.106676,-117.806726,41
Glendora,A73,normal,California,A73,0,0,34.136119,-117.865339,22
Cloverdale,A71,normal,California,A71,0,0,38.805462,-123.017223,68
Antelope,A94,normal,California,A94,0,0,38.716687,-121.364422,41
Bakersfield,A84,normal,California,A84,0,0,35.373292,-119.018712,21
Santa Rosa,A40,normal,California,A40,0,0,38.440467,-122.714431,47
Santa Rosa,A11,normal,California,A11,0,0,38.440467,-122.714431,24
Apple Valley,A61,normal,California,A61,0,0,34.500831,-117.185876,33
Santa Paula,A68,normal,California,A68,0,1,34.354166,-119.059271,0
Ojai,A99,normal,California,A99,0,0,34.44805,-119.242889,55
Oceanside,A2,normal,California,A2,0,0,33.19587,-117.379483,20
Irvine,A90,normal,California,A90,0,0,33.683947,-117.794694,20
Palo Cedro,A88,normal,California,A88,0,1,40.563763,-122.238892,0
Hollister,A35,normal,California,A35,0,0,36.852455,-121.401602,25
San Fernando,A79,normal,California,A79,0,1,36.471865,-6.196595,0
Irvine,A94,normal,California,A94,0,0,33.683947,-117.794694,72
Willits,A7,normal,California,A7,0,1,39.409608,-123.355566,0
Willits,A31,normal,California,A31,0,1,39.409608,-123.355566,0
San Diego,A9,normal,California,A9,0,0,32.715329,-117.157255,54
San Diego,A9,unsafe tail distance,California,A9,1,0,32.715329,-117.157255,63
Modesto,A20,normal,California,A20,0,0,37.639097,-120.996878,24
Markleeville,A70,normal,California,A70,0,0,38.693723,-119.779683,19
Bakersfield,A50,normal,California,A50,0,0,35.373292,-119.018712,43
Roseville,A21,normal,California,A21,0,1,38.752124,-121.288006,0
Palo Cedro,A34,normal,California,A34,0,0,40.563763,-122.238892,51
Modesto,A85,normal,California,A85,0,0,37.639097,-120.996878,33
Napa,A5,normal,California,A5,0,0,38.297538,-122.286865,46
Willits,A62,normal,California,A62,0,0,39.409608,-123.355566,22
San Quentin,A52,normal,California,A52,0,1,37.941325,-122.484704,0
Irvine,A63,normal,California,A63,0,0,33.683947,-117.794694,74
Santa Rosa,A12,normal,California,A12,0,0,38.440467,-122.714431,58
Holtville,A71,normal,California,A71,0,0,32.811161,-115.380264,73
Antelope,A39,normal,California,A39,0,1,38.716687,-121.364422,0
Santa Maria,A81,normal,California,A81,0,0,34.953034,-120.435719,45
Palo Cedro,A7,normal,California,A7,0,0,40.563763,-122.238892,40
San Dimas,A33,normal,California,A33,0,1,34.106676,-117.806726,0
Santa Paula,A6,normal,California,A6,0,0,34.354166,-119.059271,70
Hollister,A24,normal,California,A24,0,0,36.852455,-121.401602,63
Jacumba,A59,normal,California,A59,0,0,32.61768,-116.187424,39
Palo Alto,A79,normal,California,A79,0,0,37.441883,-122.143019,75
Occidental,A100,normal,California,A100,0,0,38.40765,-122.947713,43
Apple Valley,A38,normal,California,A38,0,0,34.500831,-117.185876,46
Apple Valley,A46,normal,California,A46,0,0,34.500831,-117.185876,68
Santa Rosa,A49,normal,California,A49,0,0,38.440467,-122.714431,75
Isleton,A72,normal,California,A72,0,1,38.161861,-121.611621,0
Palo Cedro,A38,normal,California,A38,0,0,40.563763,-122.238892,61
San Francisco,A80,unsafe tail distance,California,A80,1,0,37.77493,-122.419416,28
San Quentin,A64,normal,California,A64,0,0,37.941325,-122.484704,75
Knightsen,A35,normal,California,A35,0,1,37.968812,-121.668008,0
Willits,A38,normal,California,A38,0,0,39.409608,-123.355566,16
Homeland,A68,normal,California,A68,0,1,33.743076,-117.109197,0
Isleton,A95,normal,California,A95,0,0,38.161861,-121.611621,67
San Pablo,A12,normal,California,A12,0,0,37.962146,-122.345526,37
Santa Rosa,A53,normal,California,A53,0,0,38.440467,-122.714431,75
Santa Rosa,A76,normal,California,A76,0,0,38.440467,-122.714431,50
Aptos,A19,normal,California,A19,0,0,36.977173,-121.899402,50
Apple Valley,A68,normal,California,A68,0,0,34.500831,-117.185876,22
San Pablo,A96,normal,California,A96,0,1,37.962146,-122.345526,0
