Driverid (Truck Mileage),Rdate,Truckid (Truck Mileage),Gas,Miles,Mpg
A1,jun13,A1,1914,9217,4.815569488
A1,may13,A1,1892,8769,4.634778013
A1,apr13,A1,3008,14234,4.732047872
A1,mar13,A1,2262,11519,5.092396110
A1,feb13,A1,1596,8676,5.436090226
A1,jan13,A1,1878,10025,5.338125666
A1,dec12,A1,2331,12647,5.425568426
A1,nov12,A1,2054,10214,4.972736125
A1,oct12,A1,2134,10807,5.064198688
A1,sep12,A1,2191,11127,5.078502967
A1,aug12,A1,1967,9754,4.958820539
A1,jul12,A1,2578,12925,5.013576416
A1,jun12,A1,3313,15792,4.766676728
A1,may12,A1,1878,9052,4.820021299
A1,apr12,A1,2150,11062,5.145116279
A1,mar12,A1,2824,13594,4.813739377
A1,feb12,A1,2324,11019,4.741394148
A1,jan12,A1,1902,9222,4.848580442
A1,dec11,A1,1745,8565,4.908309456
A1,nov11,A1,1943,10410,5.357694287
A1,oct11,A1,3047,13450,4.414177880
A1,sep11,A1,2112,10446,4.946022727
A1,aug11,A1,2201,10378,4.715129487
A1,jul11,A1,1598,9014,5.640801001
A1,jun11,A1,2642,9466,3.582891749
A1,may11,A1,2642,14175,5.365253596
A1,apr11,A1,2642,11573,4.380393641
A1,mar11,A1,2642,13055,4.941332324
A1,feb11,A1,2642,14614,5.531415594
A1,jan11,A1,2642,14099,5.336487509
A1,dec10,A1,2642,15174,5.743376230
A1,nov10,A1,2642,10635,4.025359576
A1,oct10,A1,2642,12105,4.581756245
A1,sep10,A1,2642,10130,3.834216503
A1,aug10,A1,2642,11344,4.293716881
A1,jul10,A1,2642,10622,4.020439061
A1,jun10,A1,2642,10747,4.067751703
A1,may10,A1,2642,12976,4.911430734
A1,apr10,A1,2642,13221,5.004163512
A1,mar10,A1,2642,10435,3.949659349
A1,feb10,A1,2642,12839,4.859576079
A1,jan10,A1,2642,8969,3.394776684
A1,dec09,A1,2642,8795,3.328917487
A1,nov09,A1,2642,13668,5.173353520
A1,oct09,A1,2642,12414,4.698713096
A1,sep09,A1,2642,13300,5.034065102
A1,aug09,A1,2642,11698,4.427706283
A1,jul09,A1,2642,14207,5.377365632
A1,jun09,A1,2642,14062,5.322482967
A1,may09,A1,2642,12073,4.569644209
A1,apr09,A1,2642,15276,5.781983346
A1,mar09,A1,2642,9880,3.739591219
A1,feb09,A1,2642,13861,5.246404239
A1,jan09,A1,2642,11176,4.230128690
A2,jun13,A2,2335,12058,5.164025696
A2,may13,A2,2648,14314,5.405589124
A2,apr13,A2,2323,11050,4.756780026
A2,mar13,A2,3157,14114,4.470700032
A2,feb13,A2,2346,13583,5.789855072
A2,jan13,A2,3353,15362,4.581568744
A2,dec12,A2,2607,13608,5.219792865
A2,nov12,A2,2597,11236,4.326530612
A2,oct12,A2,1939,11380,5.869004642
A2,sep12,A2,2324,12934,5.565404475
A2,aug12,A2,2301,11848,5.149065624
A2,jul12,A2,3114,13206,4.240847784
A2,jun12,A2,3344,15316,4.580143541
A2,may12,A2,2718,13838,5.091243561
A2,apr12,A2,2800,12024,4.294285714
A2,mar12,A2,2329,12693,5.449978532
A2,feb12,A2,2929,14392,4.913622397
A2,jan12,A2,2290,11134,4.862008734
A2,dec11,A2,2953,13911,4.710802574
A2,nov11,A2,2650,11542,4.355471698
A2,oct11,A2,2135,11296,5.290866511
A2,sep11,A2,2027,10224,5.043907252
A2,aug11,A2,3013,14595,4.844009293
A2,jul11,A2,2980,13769,4.620469799
A2,jun11,A2,1827,10377,5.679802956
A2,may11,A2,1827,12786,6.998357964
A2,apr11,A2,1827,14364,7.862068966
A2,mar11,A2,1827,8978,4.914066776
A2,feb11,A2,1827,9259,5.067870826
A2,jan11,A2,1827,9545,5.224411604
A2,dec10,A2,1827,13100,7.170224412
A2,nov10,A2,1827,8529,4.668308703
A2,oct10,A2,1827,9667,5.291187739
A2,sep10,A2,1827,13264,7.259989053
A2,aug10,A2,1827,12070,6.606458675
A2,jul10,A2,1827,10367,5.674329502
A2,jun10,A2,1827,13829,7.569239190
A2,may10,A2,1827,10942,5.989053093
A2,apr10,A2,1827,10463,5.726874658
A2,mar10,A2,1827,9406,5.148330597
A2,feb10,A2,1827,14755,8.076081007
A2,jan10,A2,1827,14043,7.686371100
A2,dec09,A2,1827,11656,6.379857690
A2,nov09,A2,1827,14744,8.070060208
A2,oct09,A2,1827,13797,7.551724138
A2,sep09,A2,1827,9660,5.287356322
A2,aug09,A2,1827,10283,5.628352490
A2,jul09,A2,1827,12034,6.586754242
A2,jun09,A2,1827,11719,6.414340449
A2,may09,A2,1827,13912,7.614668856
A2,apr09,A2,1827,11892,6.509031199
A2,mar09,A2,1827,15158,8.296661193
A2,feb09,A2,1827,12774,6.991789819
A2,jan09,A2,1827,11743,6.427476738
A3,jun13,A3,2899,13652,4.709210072
A3,may13,A3,2603,12075,4.638878217
A3,apr13,A3,2792,12277,4.397206304
A3,mar13,A3,1864,9642,5.172746781
A3,feb13,A3,1796,8606,4.791759465
A3,jan13,A3,2796,13089,4.681330472
A3,dec12,A3,2099,10762,5.127203430
A3,nov12,A3,1857,10250,5.519655358
A3,oct12,A3,2046,9312,4.551319648
A3,sep12,A3,1728,8437,4.882523148
A3,aug12,A3,2789,13905,4.985657942
A3,jul12,A3,2965,14079,4.748397976
A3,jun12,A3,2708,12761,4.712333826
A3,may12,A3,2754,13264,4.816267248
A3,apr12,A3,2529,12957,5.123368921
A3,mar12,A3,2581,12598,4.881053855
A3,feb12,A3,2644,13291,5.026853253
A3,jan12,A3,1881,9433,5.014885699
A3,dec11,A3,2503,13980,5.585297643
A3,nov11,A3,1909,8592,4.500785752
A3,oct11,A3,2572,11978,4.657076205
A3,sep11,A3,2299,10921,4.750326229
A3,aug11,A3,2956,13774,4.659675237
A3,jul11,A3,1940,9451,4.871649485
A3,jun11,A3,3064,13420,4.379895561
A3,may11,A3,3064,11378,3.713446475
A3,apr11,A3,3064,13573,4.429830287
A3,mar11,A3,3064,11635,3.797323760
A3,feb11,A3,3064,9577,3.125652742
A3,jan11,A3,3064,10780,3.518276762
A3,dec10,A3,3064,12490,4.076370757
A3,nov10,A3,3064,15127,4.937010444
A3,oct10,A3,3064,11524,3.761096606
A3,sep10,A3,3064,14234,4.645561358
A3,aug10,A3,3064,14551,4.749020888
A3,jul10,A3,3064,12213,3.985966057
A3,jun10,A3,3064,14079,4.594973890
A3,may10,A3,3064,11040,3.603133159
A3,apr10,A3,3064,10460,3.413838120
A3,mar10,A3,3064,15435,5.037532637
A3,feb10,A3,3064,12811,4.181135770
A3,jan10,A3,3064,12616,4.117493473
A3,dec09,A3,3064,10743,3.506201044
A3,nov09,A3,3064,11732,3.828981723
A3,oct09,A3,3064,9429,3.077349869
A3,sep09,A3,3064,9025,2.945496084
A3,aug09,A3,3064,9547,3.115861619
A3,jul09,A3,3064,11267,3.677219321
A3,jun09,A3,3064,11205,3.656984334
A3,may09,A3,3064,9821,3.205287206
A3,apr09,A3,3064,15224,4.968668407
A3,mar09,A3,3064,11209,3.658289817
A3,feb09,A3,3064,14203,4.635443864
A3,jan09,A3,3064,10150,3.312663185
A4,jun13,A4,2439,12687,5.201722017
A4,may13,A4,2083,10680,5.127220355
A4,apr13,A4,2599,11071,4.259715275
A4,mar13,A4,2361,12302,5.210504024
A4,feb13,A4,1816,8845,4.870594714
A4,jan13,A4,2929,14130,4.824172072
A4,dec12,A4,2702,12316,4.558105107
A4,nov12,A4,2377,11999,5.047959613
A4,oct12,A4,3455,14679,4.248625181
A4,sep12,A4,3232,13835,4.280631188
A4,aug12,A4,2966,13385,4.512811868
A4,jul12,A4,2582,11443,4.431835786
A4,jun12,A4,2092,9290,4.440726577
A4,may12,A4,2129,11702,5.496477219
A4,apr12,A4,3560,15261,4.286797753
A4,mar12,A4,2155,11947,5.543851508
A4,feb12,A4,2048,9782,4.776367188
A4,jan12,A4,2639,11507,4.360363774
A4,dec11,A4,2582,12157,4.708365608
A4,nov11,A4,2021,10861,5.374072241
A4,oct11,A4,2981,13122,4.401878564
A4,sep11,A4,1971,11069,5.615930999
A4,aug11,A4,2363,12312,5.210325857
A4,jul11,A4,1897,10386,5.474960464
A4,jun11,A4,2965,8714,2.938954469
A4,may11,A4,2965,10235,3.451939292
A4,apr11,A4,2965,10090,3.403035413
A4,mar11,A4,2965,14085,4.750421585
A4,feb11,A4,2965,14434,4.868128162
A4,jan11,A4,2965,14256,4.808094435
A4,dec10,A4,2965,9737,3.283979764
A4,nov10,A4,2965,13118,4.424283305
A4,oct10,A4,2965,9862,3.326138280
A4,sep10,A4,2965,13570,4.576728499
A4,aug10,A4,2965,14179,4.782124789
A4,jul10,A4,2965,13989,4.718043845
A4,jun10,A4,2965,12950,4.367622260
A4,may10,A4,2965,11157,3.762900506
A4,apr10,A4,2965,8673,2.925126476
A4,mar10,A4,2965,15177,5.118718381
A4,feb10,A4,2965,9579,3.230691400
A4,jan10,A4,2965,14282,4.816863406
A4,dec09,A4,2965,14325,4.831365936
A4,nov09,A4,2965,12724,4.291399663
A4,oct09,A4,2965,12773,4.307925801
A4,sep09,A4,2965,8998,3.034738617
A4,aug09,A4,2965,11910,4.016863406
A4,jul09,A4,2965,12707,4.285666105
A4,jun09,A4,2965,13465,4.541315346
A4,may09,A4,2965,14419,4.863069140
A4,apr09,A4,2965,14684,4.952445194
A4,mar09,A4,2965,13090,4.414839798
A4,feb09,A4,2965,15090,5.089376054
A4,jan09,A4,2965,14249,4.805733558
A5,jun13,A5,1825,10233,5.607123288
A5,may13,A5,3450,14634,4.241739130
A5,apr13,A5,2028,9281,4.576429980
A5,mar13,A5,2790,13547,4.855555556
A5,feb13,A5,3056,12990,4.250654450
A5,jan13,A5,2713,13769,5.075193513
A5,dec12,A5,2083,11423,5.483917427
A5,nov12,A5,2547,12570,4.935217903
A5,oct12,A5,2770,14204,5.127797834
A5,sep12,A5,3122,15279,4.893978219
A5,aug12,A5,2745,14473,5.272495446
A5,jul12,A5,2453,11312,4.611496127
A5,jun12,A5,2943,13969,4.746517159
A5,may12,A5,2520,13422,5.326190476
A5,apr12,A5,2619,14092,5.380679649
A5,mar12,A5,2289,10749,4.695937090
A5,feb12,A5,2410,10649,4.418672199
A5,jan12,A5,2269,12587,5.547377699
A5,dec11,A5,1736,8498,4.895161290
A5,nov11,A5,2612,15339,5.872511485
A5,oct11,A5,2099,10502,5.003334921
A5,sep11,A5,3133,13867,4.426109161
A5,aug11,A5,2613,11594,4.437045542
A5,jul11,A5,2044,10571,5.171722114
A5,jun11,A5,2310,13508,5.847619048
A5,may11,A5,2310,15678,6.787012987
A5,apr11,A5,2310,14318,6.198268398
A5,mar11,A5,2310,14088,6.098701299
A5,feb11,A5,2310,13217,5.721645022
A5,jan11,A5,2310,12969,5.614285714
A5,dec10,A5,2310,14377,6.223809524
A5,nov10,A5,2310,11064,4.789610390
A5,oct10,A5,2310,12704,5.499567100
A5,sep10,A5,2310,10887,4.712987013
A5,aug10,A5,2310,13956,6.041558442
A5,jul10,A5,2310,14447,6.254112554
A5,jun10,A5,2310,12146,5.258008658
A5,may10,A5,2310,10212,4.420779221
A5,apr10,A5,2310,10402,4.503030303
A5,mar10,A5,2310,13295,5.755411255
A5,feb10,A5,2310,15016,6.500432900
A5,jan10,A5,2310,10200,4.415584416
A5,dec09,A5,2310,9269,4.012554113
A5,nov09,A5,2310,10744,4.651082251
A5,oct09,A5,2310,10467,4.531168831
A5,sep09,A5,2310,11495,4.976190476
A5,aug09,A5,2310,15537,6.725974026
A5,jul09,A5,2310,14058,6.085714286
A5,jun09,A5,2310,13265,5.742424242
A5,may09,A5,2310,12275,5.313852814
A5,apr09,A5,2310,14289,6.185714286
A5,mar09,A5,2310,13046,5.647619048
A5,feb09,A5,2310,9582,4.148051948
A5,jan09,A5,2310,10509,4.549350649
A6,jun13,A6,2883,14488,5.025320846
A6,may13,A6,3091,13317,4.308314461
A6,apr13,A6,2161,10927,5.056455345
A6,mar13,A6,1866,10972,5.879957128
A6,feb13,A6,2983,14322,4.801206839
A6,jan13,A6,2435,12956,5.320739220
